from,to,source
6,"6.b Number of countries adopting relevant regulations, processes and measures to reduce the impact of invasive alien species",Monitoring framework assignment (Goals and Targets to Indicators)
6,Red List Index (impacts of invasive alien species),Monitoring framework assignment (Goals and Targets to Indicators)
7,7.1 Index of coastal eutrophication potential (Sustainable Development Goal indicator 14.1.1 (a)) ,Monitoring framework assignment (Goals and Targets to Indicators)
7,7.2 Aggregated total applied toxicity,Monitoring framework assignment (Goals and Targets to Indicators)
7,Cropland nutrient budget,Monitoring framework assignment (Goals and Targets to Indicators)
7,Proportion of domestic and industrial wastewater flow safely treated (Sustainable Development Goal indicator 6.3.1),Monitoring framework assignment (Goals and Targets to Indicators)
7,Plastic debris density (Sustainable Development Goal indicator 14.1.1 (b)),Monitoring framework assignment (Goals and Targets to Indicators)
7,Red List Index (impact of pollution),Monitoring framework assignment (Goals and Targets to Indicators)
7,Trends in loss of reactive nitrogen to the environment. ,Monitoring framework assignment (Goals and Targets to Indicators)
7,Trends in nitrogen deposition,Monitoring framework assignment (Goals and Targets to Indicators)
7,"Proportion of municipal solid waste collected and managed in controlled facilities out of total municipal waste generated, by cities (Sustainable Development Goal indicator 11.6.1)",Monitoring framework assignment (Goals and Targets to Indicators)
7,Hazardous waste generation per capita (Sustainable Development Goal indicator 12.4.2(a),Monitoring framework assignment (Goals and Targets to Indicators)
7,"Trends in the amount of litter, including microplastics, in the water column and on the seafloor",Monitoring framework assignment (Goals and Targets to Indicators)
7,Plastic debris density (Sustainable Development Goal indicator 14.1.1(b),Monitoring framework assignment (Goals and Targets to Indicators)
7,Pesticide use per area of cropland,Monitoring framework assignment (Goals and Targets to Indicators)
8,8.b Number of countries with policies to minimize the impact of climate change and ocean acidification on biodiversity and to minimize negative and foster positive impacts of climate action on biodiversity,Monitoring framework assignment (Goals and Targets to Indicators)
8,"Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015- 2030 (Sustainable Development Goal indicator 1.5.3), which include biodiversity",Monitoring framework assignment (Goals and Targets to Indicators)
8,Bioclimatic Ecosystem Resilience Index (1),Monitoring framework assignment (Goals and Targets to Indicators)
8,Above-ground biomass stock in forest (tons/ha),Monitoring framework assignment (Goals and Targets to Indicators)
8,"National greenhouse gas inventories from land use, land- use change and forestry",Monitoring framework assignment (Goals and Targets to Indicators)
8,Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies (Sustainable Development Goal indicator 1.5.4),Monitoring framework assignment (Goals and Targets to Indicators)
8,Index of coastal eutrophication (Sustainable Development Goal indicator 14.1.1(a),Monitoring framework assignment (Goals and Targets to Indicators)
8,Average marine acidity (pH) measured at agreed suite of representative sampling stations (Sustainable Development Goal indicator 14.3.1),Monitoring framework assignment (Goals and Targets to Indicators)
9,9.1 Benefits from the sustainable use of wild species,Monitoring framework assignment (Goals and Targets to Indicators)
9,9.2 Percentage of the population in traditional occupations,Monitoring framework assignment (Goals and Targets to Indicators)
9,"9b Number or countries with policies to manage the use of wild species sustainably, providing social, economic and environmental benefits for people, and to protect and encourage customary sustainable use by indigenous peoples and local communities",Monitoring framework assignment (Goals and Targets to Indicators)
9,Red List Index (species used for food and medicine),Monitoring framework assignment (Goals and Targets to Indicators)
9,Living Planet Index for utilized species,Monitoring framework assignment (Goals and Targets to Indicators)
9,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing (Sustainable Development Goal indicator 14.6.1) (2)",Monitoring framework assignment (Goals and Targets to Indicators)
9,Number of Marine Stewardship Council chain of custody certification holders by distribution country,Monitoring framework assignment (Goals and Targets to Indicators)
9,Spawning stock biomass (related to commercially exploited species),Monitoring framework assignment (Goals and Targets to Indicators)
9,Number of (a) plant and (b) animal genetic resources for food and agriculture secured in medium- or long-term conservation facilities (Sustainable Development Goal indicator 2.5.1),Monitoring framework assignment (Goals and Targets to Indicators)
9,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size (Sustainable Development Goal indicator 2.3.1),Monitoring framework assignment (Goals and Targets to Indicators)
9,Red List Index (impacts of fisheries),Monitoring framework assignment (Goals and Targets to Indicators)
9,Red List Index (impact of utilization),Monitoring framework assignment (Goals and Targets to Indicators)
10,10.1 Proportion of agricultural area under productive and sustainable agriculture (Sustainable Development Goal indicator 2.4.1),Monitoring framework assignment (Goals and Targets to Indicators)
10,10.2 Progress towards sustainable forest management (Sustainable Development Goal indicator 15.2.1),Monitoring framework assignment (Goals and Targets to Indicators)
10,"Average income of small-scale food producers, by sex and indigenous status (SDG indicator 2.3.2)",Monitoring framework assignment (Goals and Targets to Indicators)
10,Agrobiodiversity Index,Monitoring framework assignment (Goals and Targets to Indicators)
10,Soil organic carbon stocks (subindicator under Sustainable Development Goal indicator 15.3.1),Monitoring framework assignment (Goals and Targets to Indicators)
10,Red List Index (wild relatives of domesticated animals) ,Monitoring framework assignment (Goals and Targets to Indicators)
10,Red List Index (pollinating species),Monitoring framework assignment (Goals and Targets to Indicators)
10,Red List Index (forest specialist species),Monitoring framework assignment (Goals and Targets to Indicators)
10,Red List Index (impacts of fisheries),Monitoring framework assignment (Goals and Targets to Indicators)
10,Proportion of local breeds classified as being at risk of extinction (SDG indicator 2.5.2),Monitoring framework assignment (Goals and Targets to Indicators)
10,Proportion of land that is degraded over total land area (SDG indicator 15.3.1),Monitoring framework assignment (Goals and Targets to Indicators)
10,Area of forest under sustainable management : total forest management certification by the Forest Stewardship Council and the Programme for the Endorsement of Forest Certification,Monitoring framework assignment (Goals and Targets to Indicators)
11,B.1 Services provided by ecosystems,Monitoring framework assignment (Goals and Targets to Indicators)
11,Annual mean levels of fine particulate matter (e.g. PM2.5 and PM10) in cities,Monitoring framework assignment (Goals and Targets to Indicators)
11,Proportion of bodies of water with good ambient water quality,Monitoring framework assignment (Goals and Targets to Indicators)
11,Level of water stress,Monitoring framework assignment (Goals and Targets to Indicators)
11,Air emission accounts,Monitoring framework assignment (Goals and Targets to Indicators)
11,Proportion of local administrative units with established and operational policies and procedures for participation of local communities in water and sanitation management (Sustainable Development Goal indicator 6.b.1),Monitoring framework assignment (Goals and Targets to Indicators)
11,Proportion of population using safely managed drinking water services (Sustainable Development Goal indicator 6.1.1),Monitoring framework assignment (Goals and Targets to Indicators)
11,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (exposure to unsafe Water, Sanitation and Hygiene for All (WASH) services) (Sustainable Development Goal indicator 3.9.2)",Monitoring framework assignment (Goals and Targets to Indicators)
11,"Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population (Sustainable Development Goal indicator 1.5.1)",Monitoring framework assignment (Goals and Targets to Indicators)
12,12.1 Average share of the built- up area of cities that is green or blue space for public use for all,Monitoring framework assignment (Goals and Targets to Indicators)
12,12.b Number of countries with biodiversity- inclusive urban planning referring to green or blue urban spaces,Monitoring framework assignment (Goals and Targets to Indicators)
12,Singapore Index on Cities’ Biodiversity,Monitoring framework assignment (Goals and Targets to Indicators)
13,C.1 Monetary benefits received in accordance with applicable internationally agreed access and benefit-sharing instruments,Monitoring framework assignment (Goals and Targets to Indicators)
13,C.2 Non- monetary benefits arising from applicable international access and benefit-sharing instruments,Monitoring framework assignment (Goals and Targets to Indicators)
13,"13.b Number of countries that have taken effective legal, policy, administrative and capacity-building measures at all levels, as appropriate, to ensure the fair and equitable sharing of benefits from the utilization of genetic resources and from digital sequence information on genetic resources, as well as traditional knowledge associated with genetic resources",Monitoring framework assignment (Goals and Targets to Indicators)
